StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,customer_id,sat_overall,lik_recommend,review_text
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_5u7bA17AMf6636S,NA,NA,NA,NA,NA,NA,NA,NA,4775,Very satisfied,Somewhat likely,Fun for my 7 year old and at a great price!
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_e3YYXivJXEXUc6O,NA,NA,NA,NA,NA,NA,NA,NA,3291,Very satisfied,Neither likely or unlikely,"I don't know why I didn't buy this sooner. It is absolutely worth the investment. I looked at this years ago and thought it was too much. I've had a number of other flashlight holsters over the years and compared to this, they were all a waste of money."
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_2l6VxO4xvLEEHEa,NA,NA,NA,NA,NA,NA,NA,NA,2335,Satisfied,Likely,This is by far my go to soft plastic lure. I have a ton of them in multiple colors. Bubblegum kills for me.  I Hit a 6 pounder last year on the bubblegum super fluke. Highly recommend picking up a few of these.
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_eLk72eqQaMZDhb0,NA,NA,NA,NA,NA,NA,NA,NA,9503,Satisfied,Somewhat likely,This is by far the best balance of features and size in the Victorinox line. I bought one to replace the one I lost. I never go anywhere without it except airport security:'(
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_eDlsUR5I3K6mDYO,NA,NA,NA,NA,NA,NA,NA,NA,6269,Satisfied,Somewhat likely,"this helmet rocks, i use it for skiing and it works perfect,its super lite and comfortable, you don't even know its there after 20 min"
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_br2gnQQwKrk6UF8,NA,NA,NA,NA,NA,NA,NA,NA,6953,Satisfied,Neither likely or unlikely,"Great price. Items seem durable and sturdy. I haven't had the chance to bake anything in them, but I don't expect a problem."
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_1C9SpZx0PrpFz3o,NA,NA,NA,NA,NA,NA,NA,NA,3984,Satisfied,Somewhat likely,Been using this the past week at work and it is great! It is loud and clear. Perfect! It also looks exactly like the picture posted above.
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_3O723o2aiJj5dJ4,NA,NA,NA,NA,NA,NA,NA,NA,4326,Satisfied,Somewhat likely,it does very good for fishing red snappers.
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:04Z,R_0DQOC4DkzWBup38,NA,NA,NA,NA,NA,NA,NA,NA,3127,Very satisfied,Somewhat unlikely,AAA
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:05Z,R_23I8H8UMAy3zjN4,NA,NA,NA,NA,NA,NA,NA,NA,2340,Very satisfied,Neither likely or unlikely,"If you like chili mac, this will do for a dehydrated meal. Nothing like homemade or fresh made, but i must say mountain house comes close."
2021-02-09T06:12:04Z,2021-02-09T06:12:04Z,Imported,NA,NA,NA,TRUE,2021-02-09T06:12:05Z,R_b3jSqadbLMsnMFg,NA,NA,NA,NA,NA,NA,NA,NA,1525,Satisfied,Neither likely or unlikely,The pic of the product showed little dents and divots.  They are on mine and I can't find a proper amount of air to make it usable for my therapy.
